NAME	ending	population
Fábiánsebestyén	other	1952
Felgyő	other	1202
Ferencszállás	szállás	649
Forráskút	kút	2107
Földeák	other	3057
Királyhegyes	other	635
Kiszombor	other	3887
Klárafalva	falva	526
Kövegy	other	396
Kübekháza	háza	1564
Magyarcsanád	other	1505
Maroslele	other	2069
Mártély	other	1298
Nagyér	other	555
Nagylak	lak	513
Nagytőke	other	431
Óföldeák	other	481
Ópusztaszer	other	2172
Öttömös	other	713
Pitvaros	other	1404
Pusztamérges	other	1091
Pusztaszer	other	1421
Röszke	other	3559
Ruzsa	other	2529
Szatymaz	other	4932
Székkutas	other	2094
Tiszasziget	other	1808
Tömörkény	other	1724
Újszentiván	other	2049
Üllés	other	3107
Zákányszék	other	2865
Zsombó	other	3534
Alap	other	2003
Alcsútdoboz	other	1439
Alsószentiván	other	584
Bakonycsernye	other	3070
Bakonykúti	other	148
Balinka	other	952
Baracs	other	3526
Baracska	other	2790
Beloiannisz	other	1151
Besnyő	other	1722
Bodmér	other	243
Csabdi	other	1271
Csákberény	berény	1181
Csókakő	other	1431
Csór	other	1880
Csősz	other	1029
Daruszentmiklós	miklós	1290
Dég	other	2226
Etyek	other	4313
Fehérvárcsurgó	other	2054
Felcsút	other	1892
Füle	other	877
Gánt	other	815
Gyúró	other	1257
Hantos	other	942
Igar	other	947
Iszkaszentgyörgy	györgy	2112
Isztimér	other	927
Iváncsa	other	2802
Jenő	other	1263
Kajászó	other	1106
Káloz	other	2401
Kápolnásnyék	other	3884
Kincsesbánya	other	1539
Kisapostag	other	1447
Kisláng	other	2530
Kőszárhegy	other	1570
Kulcs	other	3231
Lovasberény	berény	2632
Magyaralmás	other	1582
Mány	other	2508
Mátyásdomb	other	744
Mezőkomárom	other	954
Mezőszentgyörgy	györgy	1344
Mezőszilas	other	2140
Moha	other	563
Nadap	other	620
Nádasdladány	other	1811
Nagykarácsony	other	1416
Nagylók	other	1085
Nagyveleg	other	632
Nagyvenyim	other	4174
Óbarok	other	815
Pákozd	other	3324
Pátka	other	1715
Pázmánd	other	2190
Pusztavám	other	2479
Ráckeresztúr	túr	3437
Sáregres	other	695
Sárkeresztes	other	1528
Sárkeresztúr	túr	2598
Sárkeszi	other	601
Sárszentágota	other	1378
Sárszentmihály	other	3134
Söréd	other	529
Sukoró	other	1613
Szabadegyháza	háza	2196
Szabadhídvég	other	849
Szár	other	1712
Tabajd	other	1012
Tác	other	1763
Tordas	other	2073
Újbarok	other	436
Úrhida	other	2508
Vajta	other	895
Vál	other	2576
Vereb	other	818
Vértesacsa	other	1866
Vértesboglár	other	911
Zámoly	other	2413
Zichyújfalu	falu	958
Abda	other	3329
Acsalag	other	475
Ágfalva	falva	2282
Agyagosszergény	other	900
Árpás	other	259
Ásványráró	other	2013
Babót	other	1107
Bágyogszovát	other	1324
Bakonygyirót	other	150
Bakonypéterd	other	281
Bakonyszentlászló	other	1759
Barbacs	other	768
Bezenye	other	1426
Bezi	other	521
Bodonhely	hely	313
Bogyoszló	other	613
Bőny	other	2246
Börcs	other	1335
Cakóháza	háza	54
Cirák	other	545
Csáfordjánosfa	fa	222
Csapod	other	581
Csér	other	37
Csikvánd	other	489
Darnózseli	other	1563
Dénesfa	fa	420
Dör	other	615
Dunakiliti	other	1955
Dunaremete	other	244
Dunaszeg	szeg	2133
Dunaszentpál	other	742
Dunasziget	other	1637
Ebergőc	other	162
Écs	other	2026
Edve	other	117
Egyed	other	552
Egyházasfalu	falu	875
Enese	other	1790
Farád	other	1937
Fehértó	tó	485
Feketeerdő	other	617
Felpéc	other	936
Fenyőfő	other	111
Fertőboz	other	307
Fertőendréd	other	616
Fertőhomok	other	821
Fertőrákos	other	2265
Fertőszéplak	lak	1296
Gönyű	other	3250
Gyalóka	other	77
Gyarmat	other	1382
Gyóró	other	390
Gyömöre	other	1241
Győrasszonyfa	fa	535
Győrladamér	other	1831
Győrság	other	1516
Győrsövényház	other	782
Győrszemere	other	3286
Győrújbarát	other	6898
Győrújfalu	falu	1951
Győrzámoly	other	3003
Halászi	other	3159
Harka	other	2339
Hédervár	vár	1240
Hegykő	other	1510
Hidegség	other	430
Himod	other	666
Hövej	other	315
Ikrény	other	1917
Iván	other	1264
Jobaháza	háza	557
Kajárpéc	other	1260
Károlyháza	háza	566
Kimle	other	2283
Kisbabot	other	225
Kisbajcs	other	901
Kisbodak	other	376
Kisfalud	other	735
Kóny	other	2710
Kópháza	háza	2077
Koroncó	other	2270
Kunsziget	other	1263
Lázi	other	559
Levél	other	1972
Lipót	other	759
Lövő	other	1430
Maglóca	other	86
Magyarkeresztúr	túr	462
Máriakálnok	other	1996
Markotabödöge	other	478
Mecsér	other	617
Mérges	other	107
Mezőörs	other	953
Mihályi	other	1112
Mórichida	other	816
Mosonszentmiklós	miklós	2485
Mosonszolnok	other	1778
Mosonudvar	other	452
Nagybajcs	other	1001
Nagylózs	other	1041
Nagyszentjános	other	1860
Nemeskér	other	204
Nyalka	other	470
Nyúl	other	4425
Osli	other	881
Öttevény	other	3072
Páli	other	475
Pásztori	other	400
Pázmándfalu	falu	1073
Pér	other	2562
Pereszteg	other	1457
Petőháza	háza	1083
Pinnye	other	349
Potyond	other	109
Pusztacsalád	other	287
Püski	other	636
Rábacsanak	other	509
Rábacsécsény	other	583
Rábakecöl	other	705
Rábapatona	other	2601
Rábapordány	other	981
Rábasebes	other	76
Rábaszentandrás	other	461
Rábaszentmihály	other	512
Rábaszentmiklós	miklós	142
Rábatamási	other	976
Rábcakapi	other	165
Rajka	other	3374
Ravazd	other	1291
Répceszemere	other	292
Répcevis	other	351
Rétalap	other	606
Románd	other	313
Röjtökmuzsaj	other	448
Sarród	other	970
Sikátor	other	336
Sobor	other	287
Sokorópátka	other	1136
Sopronhorpács	other	835
Sopronkövesd	other	1269
Sopronnémeti	other	317
Szakony	other	446
Szárföld	other	1027
Szerecseny	other	778
Szil	other	1367
Szilsárkány	other	725
Táp	other	736
Tápszentmiklós	miklós	943
Tarjánpuszta	other	428
Tárnokréti	other	195
Tényő	other	1673
Töltéstava	other	2415
Újkér	other	1000
Újrónafő	other	869
Und	other	331
Vadosfa	fa	97
Vág	other	539
Vámosszabadi	other	2768
Várbalog	other	404
Vásárosfalu	falu	161
Vének	other	181
Veszkény	other	957
Veszprémvarsány	other	1076
Vitnyéd	other	1386
Völcsej	other	403
Zsebeháza	háza	139
Zsira	other	862
Álmosd	other	1801
Ártánd	other	638
Bakonszeg	szeg	1194
Báránd	other	2633
Bedő	other	365
Berekböszörmény	other	2063
Bihardancsháza	háza	181
Biharnagybajom	other	2822
Bihartorda	other	953
Bocskaikert	other	3432
Bojt	other	598
Darvas	other	554
Ebes	other	4723
Esztár	other	1427
Folyás	other	325
Furta	other	1174
Fülöp	other	1770
Gáborján	other	897
Görbeháza	háza	2434
Hajdúbagos	other	2103
Hajdúszovát	other	3141
Hencida	other	1253
Hortobágy	other	1499
Kismarja	other	1310
Kokad	other	685
Konyár	other	2233
Körösszakál	other	800
Körösszegapáti	apáti	1072
Magyarhomorog	other	898
Mezőpeterd	other	642
Mezősas	other	695
Mikepércs	other	4871
Monostorpályi	other	2188
Nagyhegyes	other	2786
Nagykereki	other	1394
Nyíracsád	other	3815
Nyírmártonfalva	falva	2045
Sáp	other	943
Sáránd	other	2382
Szentpéterszeg	szeg	1138
Szerep	other	1577
Tépe	other	1072
Tetétlen	other	1355
